1918,1. 下列哪种不是关节软骨的材料性质：,B,自身具有血管营养系统
1919,2. 下列哪种不是学校体育中运动损伤的发生特点：,D,严重伤及急性伤多
1920,3. 下列哪种不是开放性运动损伤伤口的处理原则：,A,立即拔除嵌入的物品
1921,4. 对于急性运动损伤的处理需要遵守的PRICE原则不包括：,C,热敷
1922,5. 下列哪种不是闭合性软组织损伤：,D,韧带撕裂
1923,6. 下列哪种不是急性运动损伤早期的处理原则：,B,热敷
1924,7. 下列哪种不是急性运动损伤中期的处理方法：,A,冷敷
1925,8. 下列哪种不是急性运动损伤晚期的处理方法：,C,冷敷
1926,9. 根据肌纤维损伤的程度不同，肌肉拉伤可分为三级，下面哪种不属于：,A,肌肉痉挛
1927,10. 头部出血应该压迫的部位为：,A,颞浅动脉
1928,11. 前臂出血应该压迫的部位为：,B,肱动脉
1929,12. 大腿及小腿出血应该压迫的部位为：,A,股动脉
1930,13. 止血带绑扎的位置是：,D,伤口近心端
1931,14. 采用止血带止血法应该多长时间松解一次：,D,30-60分钟
1932,15. 上肢大动脉出血绑扎位置为：,A,上臂的1/3处
1933,16. 下列不能采用绷带绑扎止血的部位为：,C,大腿
1934,17. 下列骨折固定的原则不包括：,C,开放性骨折需先将刺出皮肤的骨端送回创口再固定
1935,18. 基本急救三原则ABC不包括下列哪种情况：,D,保持与伤者的语言交流
1936,19. 处理急性运动损伤后所采用的冷疗法的作用不包括：,C,增加组织胺的释放
1937,20. 采用冰敷治疗方法时，当皮肤感到（）时，就可以移除冰袋：,D,麻木
1938,21. 为防止冻伤，冰敷时间不能超过：,D,30分钟
1939,22. 处理急性运动损伤采用的热疗法的不包括：,A,增加感觉神经兴奋性
1940,23. 心肺复苏正确的步骤为：,A,首先是心脏胸外按压，再进行开放气道，最后进行人工呼吸
1941,24. 下列哪种损伤不是闭合性损伤：,D,骨折
1942,25. 下列哪种损伤不是运动技术性损伤：,D,骨折
1943,26. 下列属于急性运动损伤的是：,A,肌肉拉伤
1944,27. 下列运动中最容易伤到踝关节的是：,B,篮球
1945,28. 踝关节由3块骨构成，下面哪个不是：,D,掌骨面
1946,29. 踝关节韧带由三条组成，下面哪个除外：,D,十字韧带
1947,30. 运动过程中发生的踝关节内翻过度而损伤的是：,A,外侧副韧带
1948,31. 人体中结构最复杂，承受应力最大的关节是：,B,膝关节
1949,32. 急性膝关节扭伤最容易撕裂的韧带是：,A,前交叉韧带
1950,33. 腕指关节是个统称，主要由三个关节组成，下面哪个除外：,D,腕掌关节
1951,34. 根据发生运动损伤项目的特点，下面哪个项目更容易发生运动损伤：,A,篮球
1952,35. 下列哪种损伤不属于闭合性软组织损伤：,D,捩伤
1953,36. 急性软组织损伤早期处理阶段不包括：,D,按摩
1954,37. 急性软组织损伤中期处理阶段不包括：,C,冷敷
1955,38. 急性软组织损伤晚期处理阶段不包括：,C,针刺
1956,39. 肌肉约占人体体重的：,C,40%-45%
1957,40. 使用弹性绷带对受伤部位进行包扎时应注意：,D,以螺旋状方式平均施加压力
1958,41. 将受伤部位抬高的目的叙述中哪个错误？,D,方便进一步检查
1959,42. 下列哪个动作不会造成被动牵拉伤：,D,起跳
1960,43. 根据运动项目特点，下列哪个项目不容易出现挫伤：,D,健美
1961,44. 在运动中发生肌肉痉挛最为频繁的部位是：,A,小腿
1962,45. 对运动中发生的肌肉痉挛的处理方式错误的叙述是：,C,立即对痉挛部位进行按摩
1963,46. 急性运动损伤中对冷敷作用叙述错误的是：,A,消毒
1964,47. 加压包扎止血法不能运用于下列哪种损伤：,D,主动脉
1965,48. 下列关于脑震荡的叙述错误的是：,D,有显著的脑解剖性和结构性组织伤害
1966,49. 急性脑震荡发生时的临场表现不包括：,D,头颅CT检查异常
1967,50. 急性运动损伤处理中常用的冷疗法作用的叙述错误是：,D,对受伤部位进行消毒
1968,51. 急性运动损伤处理中常用的热疗法作用的叙述错误是：,A,抑制神经感受
1969,52. 热疗法不能用于下列哪种形势的治疗：,D,急性闭合性软组织的早期
1970,53. 砂浴疗法不能用于下列哪种损伤：,D,骨折
1971,54. 肌内效贴是由哪个国家的专家发明的：,B,日本
1972,55. 英文“CPR”的中文全称是：,A,心肺复苏
1973,56. 心肺复苏中的胸外按压位置叙述正确的是：,D,胸骨正中，两乳头水平连线处
1974,57. 心肺复苏中的胸外按压频率是：,D,100次/分钟
1975,58. 海姆立克急救法是由哪个国家的专家发明的：,C,美国
1976,59. 下列哪种情况不是判断心肺复苏抢救初步成功的指标：,B,能够交流
1977,60. 根据项目特点，下列哪个项目最容易发生神经麻痹：,D,自行车
1978,61. 根据运动员运动损伤的部位特点，下列哪个部位不是最容易损伤部位：,D,肩关节
1979,62. 根据运动项目特点，在集体项目中最容易受伤的关节是：,C,踝关节
1980,63. 根据运动项目特点，篮球接球动作最容易受伤部位是：,C,手指关节
1981,64. 根据运动项目特点，乒乓球运动最容易受伤部位是：,D,腕关节
1982,以下不是引起肌肉痉挛（抽筋）的原因是：,D,身体缺少糖分
1983,人体运动过程中最容易出现肌肉痉挛的肌肉是：,A,小腿腓肠肌
1984,对运动过后出现的肌肉延迟性疼痛进行处理，不正确的方法是：,A,冷敷
1985,以下不是运动康复的主要手段是：,A,经常喝运动功能性饮料
1986,对脑震荡处理错误的方法是：,C,迅速热敷头部
1987,对运动过程中出现的肌肉拉伤进行处理不当的是：,D,对痛点进行按摩
1988,如果运动过程中出现的“运动中腹痛”现象，可以按摩以下几个穴位，哪个不对：,D,印堂穴
1989,如果运动过程中出现的“肌肉痉挛”现象，可以按摩以下几个穴位，哪个不对：,D,足三里
1990,运动中补水的原则是：,A,少量多次
1991,下列哪种食物被经常作为运动中补充体能的佳品：,D,香蕉
1992,研究显示，在运动后的一段时间内，身体合成糖原的效率最高。时间过后，则恢复到正常水平，这个时间是运动后：,B,2小时
1993,以下哪一项不是体育锻炼的原则？,C,有效性原则
1994,以下哪一项不是FITT原则：,D,重量
1995,从运动生理学的角度来说，多长时间是全身耐力运动所需要的最短时间？,B,5分钟
1996,如果长时间没有运动，刚开始进行体育锻炼后，往往会出现肌肉延迟性疼痛，以下不是引起肌肉延迟性疼痛的原因是：,D,可能身体缺钙
1997,对准备活动作用的叙述，下列错误的是：,A,抑制中枢神经的兴奋性
1998,对于运动损伤的预防，下列说法错误的是,D,少做技术难度大的动作
1999,网球肘又叫：,A,肱骨外上髁炎
2000,肩袖是由以下几个部分组成，其中错误的是：,C,肱二头肌
2001,对于“末端病”的描述，错误的是：,D,比较容易治疗
2002,对于“关节软骨损伤”的描述，错误的是：,C,受伤后可以完全再生
2003,关节的稳定主要依赖于以下几个方面的维持，其中不包括：,D,脂肪
2004,对于“骨组织劳损”的描述错误的是：,C,疲劳性骨折则也可自愈
2005,“末端病”的发生最先受损的是：,A,血管
2006,对预防慢性小损伤尤其是微细损伤，以下几条尤为重要，其中错误的是：,D,加强运动饮品的摄入
2007,以下对肩袖损伤的临床表现描述错误的是：,B,以前没有损伤史
2008,撕裂伤最容易发生的部位是头部,A,对
2009,对于撕裂伤的处理，较大的撕裂伤应先止血，经清创、消毒后再进一步处理。,A,对
2010,大学生群体最容易发生的损伤性质是：慢性、闭合性损伤.,B,错
2011,加垫屈肢止血法不能应用于身体前臂,B,错
2012,海姆立克急救法是由美国的专家发明的,A,对
2013,心肺复苏中的胸外按压频率是：40次/分钟,B,错
2014,对于骨折固定的目的叙述错误的是：预防感染,B,错
2015,"儿童少年骨的特点是有机物多，无机物少,易骨折.",B,错
2016,学校体育中运动损伤的发生特点是小伤轻伤多、软组织损伤多,A,对
2017,韧带撕裂是闭合性软组织损伤.,A,对
